node,children_node
OverFinance,CapitalExpense5year
OverFinance,RefinanceAmount5Year
OverFinance,RefinanceCount5Year
OverFinancingUnderDebtRatioIsHigh_v2,InterestBearingLiabilityLrGrowth_v2
OverFinancingUnderDebtRatioIsHigh_v2,Liability2AssetsLr
OverFinancingUnderLowROE_v2,InterestBearingLiabilityLrGrowth_v2
OverFinancingUnderLowROE_v2,RecurNetprofit_v2
OverFinancingUnderRepaymentPressure_v2,InterestBearingLiabilityLrGrowth_v2
OverFinancingUnderRepaymentPressure_v2,InterestMultiple_v2
OverGoodWill,Goodwill2ProfitLr
OverGoodWill_v2,GoodWill2NetAssetsLr
OverGoodWill_v2,Goodwill2ProfitLr
OverGrossMarginIndustryDeviation,GrossMarginIndustryDeviationTtm
OverGrossMarginStd,GrossMarginStdTtm
OverIntangibleAssets,IntangibleRatioLr
OverInterestExpense2InterestBearingDebt,InterestExpense2InterestBearingDebtLyr
OverInterestMultipleIndustryDeviation,InteretMultiIndustryDeviationLyr
OverInventoryTurnoverDeviation,InventoryTurnoverIndustryDeviationTtm
OverLeverageIndusstryDeviation,Liability2AssetsIndustryDeviationLr
OverLiability2NetAssets,Liability2AssetsLr
OverLiabilityGrowth,Liability2AssetsLrGrowth
OverLiabilitySupport,Liability2AssetsLr
OverLiquidityIndustryDeviation,CurrentRatioIndustryDeviationLr
OverNetProfitIndustryDeviation,NetprofitIndustryDeviationTtm
OverNetProfitIndustryDeviation_v2,NetprofitIndustryDeviationTtm
OverNonOperIncomeRatio,NonOperIncome2NetProfitTtm
OverQuickLiquidityIndustryDeviation,QuickRatioIndustryDeviationLr
OverRecurNetProfitIndustryDeviation,RecurNetprofitIndustryDeviationTtm
OverRecurNetProfitIndustryDeviation_v2,RecurNetprofitIndustryDeviationTtm
OverRecurRoaIndustryDeviation,RecurRoaIndustryDeviationttm
OverRecurRoaIndustryDeviation_v2,RecurRoaIndustryDeviationttm
OverRoaIndustryDeviation,RoaIndustryDeviationttm
OverRoaIndustryDeviation_v2,RoaIndustryDeviationttm
ParentEquityAbnormal,
ParentEquityAbnormalSum,
ProfitAbnormal,OverNetProfitIndustryDeviation
ProfitAbnormal,OverRecurNetProfitIndustryDeviation
ProfitAbnormal,OverRecurRoaIndustryDeviation
ProfitAbnormal,OverRoaIndustryDeviation
ProfitAbnormal_v2,OverNetProfitIndustryDeviation_v2
ProfitAbnormal_v2,OverRecurNetProfitIndustryDeviation_v2
ProfitAbnormal_v2,OverRecurRoaIndustryDeviation_v2
ProfitAbnormal_v2,OverRoaIndustryDeviation_v2
QuarterRevenue,
QuarterRevenueAbnormal,
QuickRatio,
QuickRatioIndustryDeviationLr,
RateCurveConvex,
RateCurveSlope,
RawMaterials2InventoryRatiDev,
RawMaterials2InventoryRatio,
RawMaterials2InventoryRatioDeviation,
RealEstateRedLine_v2,CashEquivalents2ShortTermInterestBearDebt_v2
RealEstateRedLine_v2,DebtAssetRatioWithoutAdvReceipts_v2
RealEstateRedLine_v2,InterestBearingLiability2MergedEquity_v2
RecurNetprofitIndustryDeviationTtm,
RecurNetProfitSq,
RecurNetprofit_v2,
RecurRoaIndustryDeviationttm,
RecurRoaIndustryDeviationttmStar,
RefinanceAbnormal,FinanceAndInvestmentAmountConflict
RefinanceAbnormal,OverFinance
